name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
,9,,Combe,Emotions,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Emotions\- Emotions - Base 9 (336) copy 3.afdesign
,9,,Combe,Emotions,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Emotions\- Emotions - Base 9 (336).afdesign
Anger,9,4 8 5 5 9 4,Combe,Emotions,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\Anger - Emotions - BC - Base 9 (336).afdesign
Angst,9,,Combe,Emotions,Base 9 Rate (336 - Combe),,blank-template,blank-template,Affinity\Emotions\ANGST - Emotions - BC - Base 9 (336).afdesign
Anguish,9,4 8 9 7 8 9,Combe,Emotions,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\Anguish - Emotions - BC - Base 9 (336).afdesign
Fear,9,9 9 2 6 8,Combe,Emotions/Fear,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\FEAR - EmotionsFear - BC - Base 9 (336).afdesign
Fear Being Hurt Non Physical,9,4 5 6 1 2 5 5 9,Combe,Emotions/Fear,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\FEAR BEING HURT NON PHYSICAL - EmotionsFear - BC - Base 9 (336).afdesign
Fear of Being Hurt Physical,9,6 8 8 1 5 8 9,Combe,Emotions/Fear,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\FEAR BEING HURT PHYSICAL - EmotionsFear - BC - Base 9 (336).afdesign
Eliminate All Known Fears,9,4 7 9 3 2,Combe,Emotions/Fear,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\Fear ELIMINATE ALL KNOWN FEARS - Emotions Fear - BC - Base 9 (336).afdesign
Eliminate All Unknown Fears,9,4 9 6 6 8 6,Combe,Emotions/Fear,Base 9 Rate (336 - Combe),jpg-twin,,,Affinity\Emotions\Fear ELIMINATE ALL UNKNOWN FEARS - Emotions Fear - BC - Base 9 (336).afdesign
